gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15
ESPORTSTMNT01_2695708,complete,,CBLOL,2022,Split 1,0,2022-01-22 15:43:50,1.0,12.01,100,Blue,team,,,LOUD,oe:team:658a021a796aa5501503220adb38cf4,,Gwen,Diana,Jinx,Vex,Tryndamere,2320,1,19,17,31,19,17,2.0,0.0,0.0,0.0,0.0,,,,0.4914,0.931,0.0,3.0,2.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,9.0,3.0,1.0,1.0,6.0,3.0,1.0,0.0,97484.0,2521.1379,,2699.431,2753.9224,167.0,4.319,64.0,1.6552,75.0,357.0,9.2328,71210.0,46170.0,1194.0517,,62900.0,0.032967,,946.0,257.0,,,31.1121,16289.0,18712.0,342.0,15641.0,17452.0,310.0,648.0,1260.0,32.0,2.0,2.0,3.0,3.0,5.0,2.0,25947.0,29905.0,522.0,24288.0,29356.0,511.0,1659.0,549.0,11.0,4.0,4.0,4.0,4.0,6.0,4.0
ESPORTSTMNT01_2695708,complete,,CBLOL,2022,Split 1,0,2022-01-22 15:43:50,1.0,12.01,200,Red,team,,,FURIA,oe:team:40084525160457267265923de195e09,,Lee Sin,Thresh,Twisted Fate,Kai'Sa,Caitlyn,2320,0,17,19,37,17,19,0.0,0.0,0.0,0.0,1.0,,,,0.4397,0.931,1.0,2.0,3.0,2.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,9.0,0.0,0.0,3.0,6.0,0.0,1.0,73545.0,1902.0259,,3437.8448,2553.1552,138.0,3.569,69.0,1.7845,57.0,330.0,8.5345,64612.0,39572.0,1023.4138,,60860.0,-0.032967,,883.0,242.0,,,29.0948,15641.0,17452.0,310.0,16289.0,18712.0,342.0,-648.0,-1260.0,-32.0,3.0,5.0,2.0,2.0,2.0,3.0,24288.0,29356.0,511.0,25947.0,29905.0,522.0,-1659.0,-549.0,-11.0,4.0,6.0,4.0,4.0,4.0,4.0
ESPORTSTMNT01_2695774,complete,,CBLOL,2022,Split 1,0,2022-01-22 17:19:08,1.0,12.01,100,Blue,team,,,Netshoes Miners,oe:team:8b76a6be17ca3ef99e562b7deb8a3ee,,Jinx,Twisted Fate,Caitlyn,Viktor,Syndra,2152,1,21,7,53,21,7,3.0,0.0,0.0,0.0,0.0,,,,0.5855,0.7807,1.0,3.0,1.0,3.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,1.0,10.0,2.0,1.0,1.0,2.0,3.0,2.0,0.0,77102.0,2149.684,,2806.6171,2277.7695,136.0,3.7918,51.0,1.4219,57.0,287.0,8.0019,72544.0,49215.0,1372.1654,,67825.0,0.157798,,1003.0,266.0,,,35.381,15057.0,18713.0,341.0,16449.0,19211.0,380.0,-1392.0,-498.0,-39.0,0.0,0.0,1.0,1.0,1.0,0.0,24237.0,30459.0,526.0,24766.0,30058.0,589.0,-529.0,401.0,-63.0,3.0,11.0,2.0,2.0,4.0,3.0
ESPORTSTMNT01_2695774,complete,,CBLOL,2022,Split 1,0,2022-01-22 17:19:08,1.0,12.01,200,Red,team,,,Flamengo Esports,oe:team:5ef087125f8255546c01970122b3cec,,Nidalee,Corki,Diana,Lee Sin,Jayce,2152,0,7,21,12,7,21,0.0,0.0,0.0,0.0,1.0,,,,0.1952,0.7807,0.0,1.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,10.0,0.0,0.0,3.0,2.0,0.0,2.0,53023.0,1478.3364,,2856.3011,2499.4238,117.0,3.2621,63.0,1.7565,51.0,288.0,8.0297,59163.0,35834.0,999.0892,,57905.0,-0.157798,,1064.0,207.0,,,35.4368,16449.0,19211.0,380.0,15057.0,18713.0,341.0,1392.0,498.0,39.0,1.0,1.0,0.0,0.0,0.0,1.0,24766.0,30058.0,589.0,24237.0,30459.0,526.0,529.0,-401.0,63.0,2.0,4.0,3.0,3.0,11.0,2.0
ESPORTSTMNT01_2695807,complete,,CBLOL,2022,Split 1,0,2022-01-22 18:29:37,1.0,12.01,100,Blue,team,,,KaBuM! e-Sports,oe:team:9dced510f02f8586ee7501922484ac0,,Ziggs,Renekton,Twisted Fate,Jhin,Ezreal,1587,1,15,8,42,15,8,1.0,0.0,0.0,0.0,0.0,,,,0.5671,0.8318,1.0,3.0,1.0,3.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,8.0,1.0,1.0,1.0,6.0,0.0,1.0,0.0,65965.0,2493.9509,,2833.8752,2803.327,84.0,3.1758,35.0,1.3233,37.0,169.0,6.3894,51114.0,33545.0,1268.242,,43250.0,0.133827,,729.0,176.0,,,34.2155,15328.0,18545.0,322.0,16012.0,18632.0,314.0,-684.0,-87.0,8.0,2.0,3.0,3.0,3.0,6.0,2.0,24028.0,29997.0,531.0,23282.0,28656.0,494.0,746.0,1341.0,37.0,2.0,3.0,3.0,3.0,6.0,2.0
ESPORTSTMNT01_2695807,complete,,CBLOL,2022,Split 1,0,2022-01-22 18:29:37,1.0,12.01,200,Red,team,,,INTZ,oe:team:bcb21457414eb9be1d27489ff7e8e59,,Corki,Jayce,Akali,Kennen,Jax,1587,0,7,15,14,7,15,0.0,0.0,0.0,0.0,1.0,,,,0.2647,0.8318,0.0,1.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,8.0,0.0,0.0,0.0,6.0,0.0,1.0,46843.0,1771.0019,,3258.7902,2061.9282,81.0,3.0624,35.0,1.3233,37.0,190.0,7.1834,40224.0,22655.0,856.5217,,37825.0,-0.133827,,661.0,144.0,,,30.4348,16012.0,18632.0,314.0,15328.0,18545.0,322.0,684.0,87.0,-8.0,3.0,6.0,2.0,2.0,3.0,3.0,23282.0,28656.0,494.0,24028.0,29997.0,531.0,-746.0,-1341.0,-37.0,3.0,6.0,2.0,2.0,3.0,3.0
ESPORTSTMNT01_2695835,complete,,CBLOL,2022,Split 1,0,2022-01-22 19:24:06,1.0,12.01,100,Blue,team,,,Rensga eSports,oe:team:92ede2510f2ad0234b1dd75f03108ae,,Lee Sin,Leona,Twisted Fate,Nautilus,Rakan,2336,0,14,17,41,14,17,1.0,0.0,0.0,0.0,0.0,,,,0.3596,0.7962,0.0,2.0,4.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,6.0,8.0,0.0,0.0,2.0,8.0,1.0,1.0,100827.0,2589.7346,,2808.75,2805.7705,130.0,3.339,69.0,1.7723,62.0,329.0,8.4503,71641.0,46440.0,1192.8082,,64350.0,-0.0362388,,969.0,234.0,,,30.899,14505.0,16690.0,284.0,17115.0,18397.0,321.0,-2610.0,-1707.0,-37.0,1.0,2.0,5.0,5.0,16.0,1.0,23079.0,28883.0,487.0,25992.0,28800.0,510.0,-2913.0,83.0,-23.0,2.0,4.0,5.0,5.0,16.0,2.0
ESPORTSTMNT01_2695835,complete,,CBLOL,2022,Split 1,0,2022-01-22 19:24:06,1.0,12.01,200,Red,team,,,RED Canids,oe:team:67169969ecc058b307edfa9c6b7a3c0,,Thresh,Caitlyn,Jinx,Braum,Karma,2336,1,17,14,42,17,14,4.0,1.0,1.0,1.0,1.0,,,,0.4366,0.7962,1.0,4.0,2.0,4.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,,0.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,8.0,6.0,1.0,1.0,8.0,2.0,1.0,1.0,76641.0,1968.5188,,3702.5342,2786.661,138.0,3.5445,51.0,1.3099,72.0,321.0,8.2449,71408.0,46207.0,1186.8236,,66725.0,0.0362388,,977.0,287.0,,,32.4658,17115.0,18397.0,321.0,14505.0,16690.0,284.0,2610.0,1707.0,37.0,5.0,16.0,1.0,1.0,2.0,5.0,25992.0,28800.0,510.0,23079.0,28883.0,487.0,2913.0,-83.0,23.0,5.0,16.0,2.0,2.0,4.0,5.0
ESPORTSTMNT01_2696159,complete,,CBLOL,2022,Split 1,0,2022-01-23 15:45:36,1.0,12.01,100,Blue,team,,,Liberty,oe:team:84e1da9e55480128662cfdfe79cb892,,Twisted Fate,Leona,Vex,LeBlanc,Akali,1655,1,16,3,25,16,3,0.0,0.0,0.0,0.0,1.0,,,,0.5801,0.6888,0.0,3.0,1.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,11.0,1.0,1.0,1.0,12.0,3.0,3.0,0.0,48273.0,1750.0785,,2080.568,1862.9003,90.0,3.2628,42.0,1.5227,32.0,210.0,7.6133,54937.0,36680.0,1329.7885,,48350.0,0.130895,,718.0,200.0,,,33.281,18959.0,19983.0,314.0,14903.0,18382.0,318.0,4056.0,1601.0,-4.0,6.0,9.0,1.0,1.0,1.0,6.0,29765.0,30371.0,512.0,22488.0,28671.0,503.0,7277.0,1700.0,9.0,7.0,11.0,1.0,1.0,1.0,7.0
ESPORTSTMNT01_2696159,complete,,CBLOL,2022,Split 1,0,2022-01-23 15:45:36,1.0,12.01,200,Red,team,,,Rensga eSports,oe:team:92ede2510f2ad0234b1dd75f03108ae,,Gwen,Corki,Thresh,Camille,Renekton,1655,0,3,16,9,3,16,0.0,0.0,0.0,0.0,0.0,,,,0.1088,0.6888,1.0,1.0,3.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,11.0,0.0,0.0,3.0,12.0,0.0,3.0,37477.0,1358.6828,,2461.3414,1476.5076,70.0,2.5378,35.0,1.2689,34.0,167.0,6.0544,43579.0,25322.0,918.0181,,42410.0,-0.130895,,792.0,144.0,,,33.9335,14903.0,18382.0,318.0,18959.0,19983.0,314.0,-4056.0,-1601.0,4.0,1.0,1.0,6.0,6.0,9.0,1.0,22488.0,28671.0,503.0,29765.0,30371.0,512.0,-7277.0,-1700.0,-9.0,1.0,1.0,7.0,7.0,11.0,1.0
